Gene name,Function
ASRGL1,EC arterial marker
NOVA2,EC arterial marker
PRX,EC arterial marker
SEMA3F,EC arterial marker
XAF1,EC arterial marker
MCTP1,EC arterial marker
M2L,EC arterial marker
TINAGL1,EC arterial marker
YTH1,EC arterial marker
PDGFB,EC arterial marker
MFSD6,EC arterial marker
HEG1,EC arterial marker
NOSTRIN,EC arterial marker
LEPROTL1,EC arterial marker
SPOCK2,EC arterial marker
ARHGEF15,EC arterial marker
SYT15,EC arterial marker
FENDRR,EC arterial marker
ICA1,EC arterial marker
SH2D3C,EC arterial marker
APGEF4,EC arterial marker
FAM171A1,EC arterial marker
IMAP6,EC arterial marker
ARAP3,EC arterial marker
ORAI1,EC arterial marker
LEC14A,EC arterial marker
HSPA12B,EC arterial marker
TNFAIP1,EC arterial marker
AMP3,EC arterial marker
MECOM,EC arterial marker
EMCN,EC arterial marker
PLLP,EC arterial marker
IL33,EC arterial marker
ID1,EC arterial marker
XRCC1,EC arterial marker
LEC3B,EC arterial marker
SAD2,EC arterial marker
IFI27,EC arterial marker
MFNG,EC arterial marker
MAP3K6,EC arterial marker
ITGB4,EC arterial marker
PCAT19,EC arterial marker
AMP2,EC arterial marker
SGK1,EC arterial marker
ARL15,EC arterial marker
IITA,EC arterial marker
X3CL1,EC arterial marker
SERPINE1,EC arterial marker
ATF3,EC arterial marker
NTNAP3B,EC arterial marker
TAF1C,EC arterial marker
EFNB2,EC arterial marker
PIK3R3,EC arterial marker
DX,EC arterial marker
,EC arterial marker
FAP20,EC arterial marker
HLA-DOA,EC arterial marker
ADGRG1,EC arterial marker
XORF36,EC arterial marker
SEC14L1,EC arterial marker
ACE,EC arterial marker
SHE,EC arterial marker
ST6GALNAC3,EC arterial marker
TCIM,EC arterial marker
ADGRL4,EC arterial marker
ADGRF5,EC arterial marker
KCTD12,EC arterial marker
LIPG,EC arterial marker
D34,EC arterial marker
PCDH1,EC arterial marker
HHEX,EC arterial marker
TES,EC arterial marker
SOX18,EC arterial marker
ALCRL,EC arterial marker
TNFSF10,EC arterial marker
ARHGAP4,EC arterial marker
BP4,EC arterial marker
NUAK1,EC arterial marker
KRT19,EC arterial marker
IDI1,EC arterial marker
FLT1,EC arterial marker
OBO4,EC arterial marker
THSD7A,EC arterial marker
IPC2,EC arterial marker
ESAM,EC arterial marker
ADCY4,EC arterial marker
HLA-DQB1,EC arterial marker
PLCXD3,EC arterial marker
ITM2A,EC arterial marker
IFITM1,EC arterial marker
LIMD2,EC arterial marker
JAM2,EC arterial marker
EGFL7,EC arterial marker
HLA-DRA,EC arterial marker
HLA-DPB1,EC arterial marker
LIFR,EC arterial marker
HSPH1,EC arterial marker
DUSP6,EC arterial marker
ASIP1,EC arterial marker
FAM199X,EC arterial marker
SLC9A3R2,EC arterial marker
ARHGAP18,EC arterial marker
PROCR,EC arterial marker
PCNT,EC arterial marker
ATA2,EC arterial marker
TSPAN7,EC arterial marker
FGD5,EC arterial marker
AC004918.1,EC arterial marker
NPR1,EC arterial marker
SORBS2,EC arterial marker
ADGRG6,EC arterial marker
HLA-DPA1,EC arterial marker
PR146,EC arterial marker
DH5,EC arterial marker
IMAP1,EC arterial marker
LGALS9,EC arterial marker
TM4SF1,EC arterial marker
DC68,EC arterial marker
ERRFI1,EC arterial marker
ECE1,EC arterial marker
FLI1,EC arterial marker
JAG2,EC arterial marker
EHD4,EC arterial marker
A4,EC capillary marker
BTNL9,EC capillary marker
VIPR1,EC capillary marker
PREX1,EC capillary marker
SOSTDC1,EC capillary marker
SAD2,EC capillary marker
SEMA3G,EC capillary marker
PRX,EC capillary marker
HPGD,EC capillary marker
SLCO4A1,EC capillary marker
PCDH12,EC capillary marker
PDGFB,EC capillary marker
,EC capillary marker
D34,EC capillary marker
SLC6A4,EC capillary marker
AMP2,EC capillary marker
SLC9A3R2,EC capillary marker
IL1RL1,EC capillary marker
HECW2,EC capillary marker
FLT4,EC capillary marker
EMCN,EC capillary marker
F2RL3,EC capillary marker
NOTCH4,EC capillary marker
PIHBP1,EC capillary marker
ESAM,EC capillary marker
PCDH1,EC capillary marker
ADGRG1,EC capillary marker
TMEM100,EC capillary marker
SEC14L1,EC capillary marker
ADGRF5,EC capillary marker
FCN3,EC capillary marker
HLA-DQA1,EC capillary marker
FENDRR,EC capillary marker
ACE,EC capillary marker
