Gene name,Function
TYRP1,Goblet (nasal) marker
SCGB3A2,Goblet (nasal) marker
MMP10,Goblet (nasal) marker
OTC,Goblet (nasal) marker
HSPB3,Goblet (nasal) marker
LAMB3,Goblet (nasal) marker
RP11-501J20.5,Goblet (nasal) marker
HBB,Goblet (nasal) marker
CCL11,Goblet (nasal) marker
CALD1,Goblet (nasal) marker
SCGB1A1,Goblet (subsegmental) marker
FOXS1,Goblet (subsegmental) marker
TRGV2,Goblet (subsegmental) marker
OTC,Goblet (subsegmental) marker
CFD,Goblet (subsegmental) marker
TPSG1,Goblet (subsegmental) marker
ADRA2C,Goblet (subsegmental) marker
TYRP1,Goblet (subsegmental) marker
TNFSF11,Goblet (subsegmental) marker
CXCR5,Goblet (subsegmental) marker
SPIC,Goblet (subsegmental) marker
HPD,Goblet (subsegmental) marker
GPR182,Goblet (subsegmental) marker
SSUH2,Goblet (subsegmental) marker
SIGLEC6,Goblet (subsegmental) marker
LINC01638,Goblet (subsegmental) marker
MUC5B,Goblet (subsegmental) marker
LAMC3,Goblet (subsegmental) marker
BPIFB1,Goblet (subsegmental) marker
LINC01393,Goblet (subsegmental) marker
MSMB,Goblet (subsegmental) marker
IFNG-AS1,Goblet (subsegmental) marker
B4GALNT1,Goblet (subsegmental) marker
BRINP3,Goblet (subsegmental) marker
HSPB3,Goblet (subsegmental) marker
LINC02106,Goblet (subsegmental) marker
CDH19,Goblet (subsegmental) marker
CTSG,Goblet (subsegmental) marker
MSI1,Goblet (subsegmental) marker
MYBPC1,Goblet (subsegmental) marker
PRSS57,Hematopoietic stem cells marker
